Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Ivan Zhao,M,SBD,Raw,21.5,20-23,19-23,MR-Jr,82.2,82.5,252.5,-265,275,,275,135,-142.5,150,,150,245,260,275,,275,700,2,475.16,469.96,452.27,97.37,Yes,USA,MA,USAPL,,2023-10-21,USA,NH,,Odyssey Barbell Club Classic,Yes
Ivan Zhao,M,SBD,Raw,21.5,20-23,19-23,MR-C,82.45,82.5,247.5,260,-270,,260,127.5,135,137.5,,137.5,247.5,260,-270,,260,657.5,32,445.54,440.62,423.98,91.32,Yes,USA,MA,USAPL,,2023-04-13,USA,TX,Arlington,Collegiate Nationals,Yes
Ivan Zhao,M,SBD,Raw,20.5,20-23,19-23,MR-C,81.8,82.5,217.5,227.5,240,,240,-127.5,127.5,135,,135,-232.5,232.5,252.5,,252.5,627.5,3,427.13,422.53,406.72,87.51,Yes,USA,MA,USAPL,,2022-11-12,USA,MA,,Raw Collegiate Cup and Massachusetts Collegiate States,Yes
Ivan Zhao,M,SBD,Raw,20.5,20-23,19-23,MR-O,82.15,82.5,215,230,-240,,230,122.5,127.5,135,,135,-245,245,-260,,245,610,3,414.21,409.69,394.28,84.88,Yes,USA,MA,USAPL,,2022-07-30,USA,MA,,Cambridge Summer Smash,Yes
