Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Brian Ma,M,SBD,Raw,20.5,20-23,19-23,MR-C,75,75,217.5,227.5,235,,235,125,130,,,130,-270,285,-292.5,,285,650,1,466.32,463.16,447.53,94.76,Yes,USA,MA,USAPL,,2023-11-04,USA,MA,,Raw Collegiate Cup and Massachusetts Collegiate State Championships,Yes
Brian Ma,M,SBD,Raw,20.5,20-23,19-23,MR-O,74.6,75,205,215,225,,225,125,130,-137.5,,130,257.5,265,-272.5,,265,620,2,446.33,443.44,428.57,90.64,Yes,USA,MA,USAPL,,2023-07-15,USA,NY,,Northeast Regionals,Yes
Brian Ma,M,SBD,Raw,20.5,20-23,19-23,MR-Jr,74.6,75,205,215,225,,225,125,130,-137.5,,130,257.5,265,-272.5,,265,620,1,446.33,443.44,428.57,90.64,Yes,USA,MA,USAPL,,2023-07-15,USA,NY,,Northeast Regionals,Yes
Brian Ma,M,SBD,Raw,20.5,20-23,19-23,MR-O,74,75,192.5,207.5,212.5,,212.5,100,107.5,110,,110,237.5,252.5,-257.5,,252.5,575,2,416.10,413.61,399.87,84.42,Yes,USA,NY,USAPL,,2023-01-15,USA,MA,,Worcester Open,Yes
Brian Ma,M,SBD,Raw,19.5,20-23,19-23,MR-C,76.5,82.5,170,182.5,190,,190,92.5,97.5,-102.5,,97.5,215,-225,230,,230,517.5,6,366.65,363.77,351.19,74.68,Yes,USA,NY,USAPL,,2022-02-12,USA,MA,,Northeast Collegiate Regionals,Yes
